# Сеансы, снятые вручную со страниц сети. Формат:
# кинотеатр;адрес;фильм;дата;время;цена;зал
# Этот файл — источник наравне с парсерами: то, что робот не смог достать,
# можно дописать руками, и оно попадёт на карту.
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;10:15;670;2D
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;11:00;1540;ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;11:40;930;Большой экран
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;12:10;1300;Гранд ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;13:10;850;2D
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;13:45;850;2D
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;14:30;1540;ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;15:20;990;Большой экран
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;15:50;1410;Гранд ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;16:40;900;2D
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;17:15;900;2D
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;18:10;1640;ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;19:00;990;Большой экран
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;19:30;1410;Гранд ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;20:10;900;2D
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;20:50;900;2D
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;21:40;1640;ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;22:30;900;Большой экран
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;23:00;1290;Гранд ВИП
Киномакс-Пражская;ул. Кировоградская, д. 13А, ТРЦ «Columbus», Москва;Одиссея;2026-08-08;23:40;900;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;10:20;600;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;11:10;1530;ВИП
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;12:10;760;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;13:00;760;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;13:50;760;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;14:40;1530;ВИП
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;15:40;890;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;16:30;890;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;17:20;890;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;18:20;1610;ВИП
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;19:10;890;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;20:00;890;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;20:50;890;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;22:00;1610;ВИП
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;22:50;890;2D
Киномакс-Водный;Головинское шоссе, д. 5, ТЦ «Водный», Москва;Одиссея;2026-08-08;23:30;890;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;10:10;1080;Гранд ВИП
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;11:10;810;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;12:10;850;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;13:40;1510;Гранд ВИП
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;14:40;850;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;15:40;890;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;17:10;1600;Гранд ВИП
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;18:10;890;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;19:10;890;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;20:20;2040;На крыше 18+
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;20:40;1460;Гранд ВИП
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;21:40;850;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;22:40;850;2D
